Follow-me,Follow
Konzepte,Konzept
einigen Monaten,Monat
Europäischen Kommission,Europäischen Kommission
Soldaten,Soldat
Mali,Mali
Rede,Rede
zwei weitere Länder,Land
Estland,Estland
hohe Geländegängigkeit,Geländegängigkeit
Multimissionsfähigkeit,Multimissionsfähigkeit
Drittanbietertechnologien,Drittanbietertechnologien
einem Eigengewicht,Eigengewicht
Österreich,Österreich
Systemintegrator,Systemintegrator
abgesessene Truppen,Truppe
Li-Ion,Li Ion
autonomen Betrieb,Betrieb
Universal-Plattform,Universal Plattform
Dieselmotor,Dieselmotor
Zahlreiche namhafte Systemhäuser,Zahlreiche Systemhäuser
Niederlande-Auftrag,Niederlande Auftrag
Ground System,Ground
Kampf- und Aufklärungslösungen,Kampf Aufklärungslösungen
Unmanned Ground Vehicles,Unmanned Ground Vehicles
Lieferung,Lieferung
Aufklärung,Aufklärung
Waffensystemen,Waffensystemen
estnische Zentrum,Zentrum
Operation Barkhane,Operation Barkhane
Konsortium,Konsortium
Niederlande,Niederlande
estnischen Verteidigungskräfte,Verteidigungskräfte
Verteidigungsinvestitionen,Verteidigungsinvestitionen
Funkfernsteuerung,Funkfernsteuerung
wahlweise Blei,Blei
sieben NATO-,NATO
Einheit,Einheit
kg Nutzlast,Nutzlast
UGV,UGV
Deutschland,Deutschland
zwei Themis,Themis
Gerhard Heiming,Gerhard Heiming
Erhöhung,Erhöhung
Diehl Defence,Diehl Defence
Verschiedene estnische Einheiten,Verschiedene Einheit
Oktober,Oktober
Krauss-Maffei Wegmann,Krauss Maffei Wegmann
MilRem Robotics,MilRem Robotics
breites Spektrum,Spektrum
EOD-Aufgaben,EOD Aufgaben
RAS,RAS
Hersteller,Hersteller
Standardkonfigurationen,Standardkonfigurationen
Rahmen,Rahmen
Gemeinsamen,Gemeinsame
Transportaufgaben,Transportaufgaben
Roboter-Kampffahrzeug Typ,Roboter Kampffahrzeug Typ
Intelligent Functions Integration,Intelligent Functions Integration
Kit,Kit
auch Grundlage,Grundlage
einen diesel-elektrischem Hybridantrieb,Hybridantrieb
ECDI,ECDI
einer Live-Feuerwehrübung,Live Feuerwehrübung
Schutz,Schutz
Stunden,Stunde
Unterstützung,Unterstützung
Waffenträger,Waffenträger
sieben unbemannte Bodenfahrzeuge,Bodenfahrzeuge
einen Generator,Generator
Erfahrungen,Erfahrung
Kettenfahrwerk,Kettenfahrwerk
Schottland,Schottland
13. Lichte Brigade,Lichte Brigade
Höchstgeschwindigkeit,Höchstgeschwindigkeit
Fahrzeuge,Fahrzeug
Kampfkraft,Kampfkraft
EDIDP,EDIDP
