AI algorithms,AI algorithm
king,king
manned fighters,manned fighter
more confidence,confidence
human fighter pilot,human fighter pilot
"""aggressive gun maneuver",aggressive gun maneuver
tanker,tanker
increased focus,increased focus
student pilots,student pilot
© Copyright,copyright
road,road
fighter pilot's goal,fighter pilot goal
chess,chess
artificial intelligence community,artificial intelligence community
Top Gun,Gun
China and Russia,China Russia
military leaders,military leader
aircraft,aircraft
Air Force,Air force
dynamic environment,dynamic environment
pilot training curriculum,pilot training curriculum
finalists,finalist
Russia,Russia
angles,angle
military,military
AI-powered simulated aircraft,AI powered simulated aircraft
Heron Systems,Heron
position,position
new threats,threat
enemy aircraft,enemy aircraft
China,China
broadcast,broadcast
evasive maneuvers,evasive maneuver
phone call,phone
Maryland-based Heron Systems,Maryland based Heron
material,material
chicken,chicken
Air Education,Air education
battle simulations,battle simulation
physical one,physical
artificial intelligence algorithm,artificial intelligence algorithm
Lockheed and PhysicsAI,Lockheed PhysicsAI
Oriana Pawlyk,Oriana pawlyk
worth,worth
air,air
EpiSys Science,EpiSys science
other confrontational moves,confrontational
qualifications and training,qualifications training
his call sign,sign
trial,trial
real-time,real time
human-machine showdown,human machine showdown
Lockheed,Lockheed
point,point
cargo,cargo
PhysicsAI,PhysicsAI
@Oriana0214,Oriana0214
DARPA officials,DARPA official
fight,fight
qualifications,qualification
Banger,banger
Boeing Co.,Boeing
UPT,UPT
differences,difference
companies,company
encirclement and counter,encirclement counter
YouTube,youtube
Perspecta Labs,Perspecta lab
AI-powered aircraft,AI powered aircraft
SoarTech,SoarTech
battle,battle
program,program
man-vs-machine finale,machine finale
live-stream,live stream
augment flight hours,augment flight hour
first place,place
victory,victory
simulated wargame,simulated wargame
command-and-control aircraft,command control aircraft
training bases,training basis
Nevada,Nevada
different closures,closure
adversaries,adversarie
"close, 100-foot range",close 100 foot range
Heron Lockheed,Heron Lockheed
organization,organization
highly contested environments,highly contested environment
technology,technology
virtual reality training,virtual reality training
favor,favor
DARPA experiment,DARPA experiment
jet,jet
simulation,simulation
top spot,spot
Heron,heron
Heron's tactics,Heron tactic
simulator,simulator
subsidiary,subsidiary
Aurora Flight Sciences,Aurora Flight science
complex physics,complex physics
Javorsek,Javorsek
encirclement,encirclement
three-day competition,day competition
human pilots,human pilot
pilots,pilot
Lockheed Martin Corp.,Lockheed Martin Corp
reporters,reporter
DARPA program manager,DARPA program manager
advanced training,advanced training
T-1 Jayhawk,1 Jayhawk
AI,AI
Training Command,Training command
my weapon,weapon
Aurora,Aurora
year,year
Alpha,alpha
scope,scope
final round,final
counter,counter
competition,competition
service's version,service
former F-16 pilot,16 pilot
event,event
upper hand,upper hand
simulated dogfight,simulated dogfight
third day,day
training,training
AI adversary,AI adversary
head,head
Weiqi,weiqi
Twitter,twitter
his time,time
"""mixed combat teams",mixed combat team
Pentagon,Pentagon
maneuvers,maneuver
aerial demonstration,aerial demonstration
player,player
board games,board game
real-time video games,real time video game
simulator-heavy experiment,simulator heavy experiment
ground,ground
digital cockpit,digital cockpit
future,future
high-stakes game,high stakes game
