Auch die Blickrichtung,Blickrichtung
Zielen,Ziel
einem Drohnenprojekt,Drohnenprojekt
aller anderen Personen,Person
US-Soldaten,Soldaten
Projekts,Projekt
Google,Google
zahlreichen taktischen Sensoren,Sensor
Training,Training
eigene Teilnahme,Teilnahme
jahrelangen Tests,Test
US-Sender CNBC,Sender CNBC
Zusammenarbeit,Zusammenarbeit
zweite Generation,Generation
schematische Karte,Karte
Gebäuden und Eingängen,Gebäuden Eingang
Gebäuden,Gebäude
Firmenvertreter,Firmenvertreter
Feld,Feld
wiedaufladbaren Akkupack,Akkupack
Schlacht,Schlacht
Echtzeit,Echtzeit
Anfang,Anfang
Einsätzen,Einsatz
Nahkampf,Nahkampf
zugehörigen Recheneinheit,Recheneinheit
ihre Umgebung,Umgebung
Eingängen,Eingang
Gesamtvolumen,Gesamtvolumen
Trägers,Träger
dickes Kabel,Kabel
Früheren Berichten,Früheren Bericht
einem Blick,Blick
Übungen,Übung
ihrem transparenten Visier,Visier
US-Militärs,Militärs
Position,Position
Produktionsauftrag,Produktionsauftrag
keinen Grund,Grund
Auftrag,Auftrag
Basis,Basis
Hololens,Hololens
Nacht- und Infrarotsicht,Infrarotsicht
Kritik,Kritik
IVAS-Brille,IVAS Brille
Augmentation System,Augmentation
"einer ""naturgetreuen Mixed-Reality-Umgebung",Mixed Reality Umgebung
US-Army,Army
Nähe,Nähe
US-Konzern,Konzern
Cloud-Dienstleistungen,Cloud Dienstleistungen
Hardware,Hardware
rund 120.000 AR-Brillen,Brillen
Sogar ein Fadenkreuz,Fadenkreuz
Helm,Helm
Militär-Hololens,Militär Hololens
eventuelle Zielpersonen,Zielpersonen
derartige Kooperationen,Kooperation
auch taktische Cloud-Anwendungen,Cloud Anwendungen
Mitteilung,Mitteilung
Unterstützung,Unterstützung
Mittwoch,Mittwoch
einen besseren Überblick,Überblick
Microsoft,Microsoft
IVAS,IVAS
Microsoft-Sprecher,Microsoft Sprecher
Körper,Körper
Vertrags,Vertrag
Beschaffungsamt,Beschaffungsamt
einer Waffe,Waffe
klassische Cloud-Dienste,Cloud Dienste
US-Armee,Armee
Hololens-Trägers,Hololens Trägers
