bestimmter Operationsprozeduren,Operationsprozeduren
Richtungen,Richtung
Zukunft,Zukunft
einer anderen Person,Person
drei verschiedene Motoren,Motor
Interaktionen,Interaktion
beispielsweise Trainingsszenarien,Trainingsszenarien
Anfertigen,Anfertigen
Aufgabe,Aufgabe
auch Kosten,Kosten
Welt,Welt
letzteren Aspekt,Aspekt
3D-Gittermodellen,Gittermodellen
weitere Herausforderung,Herausforderung
komplett kontrollierbaren Versuchsumgebung,Versuchsumgebung
Asien,Asien
Borstenpinsel,Borstenpinsel
eines Avatars,Avatars
menschlichen Organen,Organ
auch universellere Methoden,Methode
neuesten Entwicklungen,Entwicklung
Hinweise,Hinweis
Virtual-Reality-(VR-)Spielekonsolen,Virtual Reality VR Spielekonsolen
Japan,Japan
einer Hand,Hand
Virtuelle Realitäten,Virtuelle Realität
Bewegung,Bewegung
Remote Collaboration,Remote Collaboration
digitale Daten,Datum
Form,Form
Australien,Australien
diesem Artikel,Artikel
einfaches Modell,Modell
Deutsche Forscher,Deutsche Forscher
Florian Mathis,Florian Mathis
Szenarien,Szenarium
beliebige Evaluationsszenarien,Evaluationsszenarien
komprimierte Luft,Luft
Trainingskontext,Trainingskontext
internationalen CHI-Konferenz,CHI Konferenz
Übelkeit,Übelkeit
gar Matrix,Matrix
guter Letzt,Letzt
Evaluationszwecken,Evaluationszwecken
Widerstände,Widerstand
Controller,Controller
deren Hilfe,Hilfe
verbesserten Wahrnehmung,Wahrnehmung
Rückstöße,Rückstöße
Tangibles,Tangibles
Borsten,Borste
verschiedene einfache Handpositionen,Handpositionen
Körper,Körper
einige Forschungsarbeiten,Forschungsarbeiten
Japanische Forscher,Japanische Forscher
Dichte und Höhe,Dichte Höhe
identische Bedingungen,Bedingung
konkreten Objekten,Objekt
Widerstände und Rückstöße,Widerstände Rückstöße
alle Versuchspersonen,Versuchspersonen
Winkel,Winkel
virtuelle Realität,Realität
Alltag,Alltag
Controllererweiterung,Controllererweiterung
Kontext,Kontext
CASSIE,CASSIE
Armbänder,Armbänder
neuartige Interaktionsmöglichkeiten,Interaktionsmöglichkeiten
Vive,Vive
möglichst realistisches Feedback,Feedback
auch Computerspiele,Computerspiele
Gesten,Geste
medizinischem Training,Training
ihre Arme,Arm
mehr Einzug,Einzug
eyemR-Vis,Vis
Fachkräften,Fachkräften
Armband,Armband
leichtes elektrostatisches Feld,Feld
Finger,Finger
Augen,Auge
implizite Anwesenheit,Anwesenheit
Konferenz,Konferenz
VR-Controllern,VR Controllern
Ermöglichung,Ermöglichung
Vermittlung,Vermittlung
Youtube-Kanal,Youtube Kanal
weder die Erfassung,Erfassung
Fingergesten,Fingergesten
gleichen Umgebung,Umgebung
Oculus Quest,Oculus Quest
Bereitstellung,Bereitstellung
Vorteil,Vorteil
Virtuelle Umgebung,Virtuelle Umgebung
VR,VR
Forscher,Forscher
einen Strahl,Strahl
Konstruktion,Konstruktion
einem virtuellen Zug,Zug
Auch tragbare Geräte,Gerät
Blickvisualisierung,Blickvisualisierung
Taiwan,Taiwan
Navigation,Navigation
Taiwan und Japan,Taiwan Japan
angeschauten Gegenständen,Gegenstand
solche Abweichung,Abweichung
automatische Strichoptimierung,Strichoptimierung
Ruhe,Ruhe
aktuellen Pandemie,Pandemie
Armkonstruktion,Armkonstruktion
Blickkontakte,Blickkontakte
bestimmte konkrete Einsatzgebiete,Einsatzgebiete
Videos,Video
glatte zusammenhängende 3D-Struktur,Struktur
Rauheit,Rauheit
Nutzern,Nutzern
verschiedene Oberflächen,Oberfläche
aller Beiträge,Beitrag
verschiedener Universitäten,Universität
Schritt-für-Schritt,Schritt Schritt
Höhe,Höhe
Labor,Labor
verschiedenen Sinne,Sinn
Neuartige Controller,Neuartige Controller
Diese Einschränkungen,Einschränkung
Koreanische Forscher,Koreanische Forscher
