große Flexibilität,Flexibilität
Erkundung und Aufklärung,Erkundung Aufklärung
hoher Hindernisse,Hindernis
Auch die Integration,Integration
UGV-Chassis,UGV Chassis
eines Kontrollmoduls,Kontrollmoduls
Aufgaben,Aufgabe
Treppensteigen,Treppensteigen
Gehäuse,Gehäuse
Bedeutung,Bedeutung
einem Soldaten,Soldat
RACOMS,RACOMS
optional montierbare Sensoren,Sensor
einen Akkuwechsel,Akkuwechsel
unterschiedlichen Einsatzszenarien,Einsatzszenarien
unbemannten Luftfahrzeugen,Luftfahrzeugen
Ort,Ort
mehrstündige Einsatzdauer,Einsatzdauer
hohe Geländegängigkeit,Geländegängigkeit
Gebäuden,Gebäude
Spezialeinheit,Spezialeinheit
beidseitige Nutzbarkeit,Nutzbarkeit
MISSION,MISSION
Echtzeit,Echtzeit
Erkundung,Erkundung
Seine Größe,Größe
Gewässern,Gewässer
Einsatz,Einsatz
Aufklärungs- und Überwachungsfunktionen,Aufklärungs Überwachungsfunktionen
"leichtes, unbemanntes Micro-Bodenfahrzeug",Micro Bodenfahrzeug
Aufklärung,Aufklärung
Zielerfassungssensoren,Zielerfassungssensoren
optimalem Lagebewusstsein,Lagebewusstsein
Gefahrenabwehr,Gefahrenabwehr
Logistik und Aufklärung,Logistik Aufklärung
allen Geländeformen,Geländeformen
MTGR,MTGR
hoher Geschwindigkeit,Geschwindigkeit
seinen kompakten Maßen,Maß
Elbit,Elbit
moderner unbemannter Landfahrzeuge,Landfahrzeuge
seinem leistungsstarken Greifer,Greifer
maximale Gewichtsersparnis,Gewichtsersparnis
Adaption,Adaption
Tactical Ground Robot,Tactical Ground Robot
urbanen Szenarien,Szenarium
unterschiedliche Nutzlasten,Nutzlast
Katastrophenhilfe,Katastrophenhilfe
urbane Gefechtsführung,Gefechtsführung
einen elektrischen 4×4-Radantrieb,Radantrieb
Prüfung,Prüfung
hohe Dynamik,Dynamik
Kompaktheit,Kompaktheit
Ground Vehicles,Ground Vehicles
maximales Sichtfeld,Sichtfeld
schwierigem Terrain,Terrain
gefährlicher Stoffe,Stoff
Verwendung,Verwendung
hohe Widerstandsfähigkeit,Widerstandsfähigkeit
kontinuierliche Zusammenwirken,Zusammenwirken
aktueller Konflikte,Konflikt
ABC-Abwehreinsätze,ABC Abwehreinsätze
Häusern,Haus
schnellen Entwicklungsfortschritten,Entwicklungsfortschritten
Hilfe,Hilfe
Tag- und Nachtsicht-Kamerasystem,Nachtsicht Kamerasystem
Gefahrstoffe,Gefahrstoffe
ABC-Abwehr,ABC Abwehr
ferngesteuerten Fahrzeuge,Fahrzeug
„Follow-the-Leader“-Funktion,Follow Leader Funktion
RACOMS und Elbit,RACOMS Elbit
Logistik,Logistik
Montage,Montag
Mithilfe,Mithilfe
schwere Objekte,Objekt
Bombenentschärfung,Bombenentschärfung
Evakuierung,Evakuierung
Bodentruppen,Bodentruppen
wegweisende Fähigkeiten,Fähigkeit
Algorithmen,Algorithmen
Spanngurten,Spanngurten
auch UGVs,UGVs
alle Aktivitäten,Aktivität
deutschen Streitkräften,Streitkräften
Großer Bruder,Bruder
seiner Landeposition,Landeposition
IRIS,IRIS
