woman-owned small business,woman owned small business
potential hazard,potential hazard
power,power
action,action
field of view,field view
equipment,equipment
training and performance,training performance
Complex Systems,Complex
ThirdEye’s developments,ThirdEye development
games,game
ARMA,ARMA
mixed reality,mixed reality
API,API
advanced MR features,advanced feature
CEO,CEO
overlay,overlay
market,market
option,option
offices,office
aircraft,aircraft
people,people
Marlo Brooke,Marlo Brooke
solutions,solution
ThirdEye Gen,ThirdEye Gen
customers and employees,customers employee
monocular device,monocular device
safety,safety
equipment and aircraft,equipment aircraft
ThirdEye,thirdeye
safety and efficiency,safety efficiency
U.S. military,military
strength,strength
effectiveness,effectiveness
low cost,cost
ThirdEye ThirdEye,ThirdEye thirdeye
job,job
software products,software product
Virginia Beach,Virginia beach
our customers,customer
clientele,clientele
Founder and CEO,Founder CEO
stress,stress
point,point
5G capabilities,5G capability
step,step
field,field
innovative solutions,innovative solution
ThirdEye's vision,ThirdEye vision
software and solutions,software solution
powerful sensors,powerful sensor
wide field,wide field
CEO of ThirdEye,CEO thirdeye
many companies,company
safety and effectiveness,safety effectiveness
Nick Cherukuri,Nick Cherukuri
job performance aids,job performance aid
AVATAR Partners,AVATAR partner
MR Glasses,glass
rigorous stress tests,rigorous stress test
Avatar CONNECT,Avatar CONNECT
risk,risk
just smart glasses,smart glass
first responders,responder
software company offering,software company offering
perfect fit,perfect fit
Huntington Beach,Huntington beach
PRINCETON,PRINCETON
voice command,voice command
mission,mission
eye,eye
hundreds of software,hundreds software
GLOBE NEWSWIRE,GLOBE NEWSWIRE
potential,potential
ThirdEye’s glasses,ThirdEye glass
future projects,future project
view,view
Founder,founder
AVATAR’s mission,AVATAR mission
employees,employee
performance,performance
glasses and AR,glasses
American commercial industry,American commercial industry
wires,wire
program support,program support
our hardware,hardware
leader,leader
everyday consumers,everyday consumer
CEO and Founder,CEO founder
entertainment,entertainment
our MR products,product
SimplifyXR,SimplifyXR
lightest MR glasses,lightest glass
military environments,military environment
military personnel,military personnel
Users,user
MR) enterprise solutions,enterprise solution
new partnership,partnership
CAD modeling,CAD model
concrete,concrete
only software,software
documents,document
branches,branch
several years,year
our work,work
augmented reality,augmented reality
effectiveness of people,effectiveness people
real world,real
innovative training systems,innovative training
great force,great force
large programs,large program
readiness,readiness
day,day
drawings,drawing
training,training
efficiency,efficiency
warfighter readiness,warfighter readiness
business process analysis,business process analysis
execution and success,execution success
execution,execution
mind,mind
success,success
experts,expert
AR/MR software development,software development
enterprise applications,enterprise application
Arlington,Arlington
future,future
proven track record,proven track record
apps,app
