gemischten Realität,Realität
Anpassung,Anpassung
LCD-Panels,LCD Panels
ganze Reihe,Reihe
Mixed-Reality-Erlebnisse,Mixed Reality Erlebnisse
Massenfertigung,Massenfertigung
gleich zwei 8K-Bildschirmen,Bildschirmen
seiner kommenden Virtual-Reality-,Virtual Reality
Projekt,Projekt
Produktion,Produktion
Anfang Februar,Anfang Februar
Lieferkette,Lieferkette
Micro-OLED-Projekt,Micro OLED Projekt
Eye-Tracking,Eye Tracking
Asien,Asien
Kameras,Kamera
seinem Stamm-Chipfertiger TSMC,Stamm Chipfertiger TSMC
VR-Welt,VR Welt
Sehstärken,Sehstärken
zugekaufte Verfahren,Verfahren
TSMC,TSMC
Apple,Apple
"einem ""Geheimlabor",Geheimlabor
solche Größen,Größe
Einsatz,Einsatz
Prozessor- und SoC-Herstellung,Prozessor SoC Herstellung
Wafern,Wafern
Computerbrillen,Computerbrillen
einen deutschen Spezialisten,Spezialist
Gläsern,Glas
Apples erster Ausflug,Apples Ausflug
Quelle,Quelle
Erst ein Headset,Headset
verschiedene Designelemente,Designelemente
vergangenen Woche,Woche
wie Texteingaben,Texteingaben
Augen-Tracking,Augen Tracking
"solchen ""ultrafortschrittlichen"" Displays",Displays
neuartiger Micro-OLED-Bildschirme,Micro OLED Bildschirme
Micro-OLEDs,Micro OLEDs
Anklicken,Anklicken
SensoMotoric,SensoMotoric
neuartigen Schirme,Schirm
Umsetzung,Umsetzung
einem Bericht,Bericht
Mixed Reality,Mixed Reality
erste Gerüchte,Gerücht
einem Glassubstrat,Glassubstrat
Verwendung,Verwendung
Taiwan,Taiwan
Konzerns,Konzern
einer Phase,Phase
Hersteller,Hersteller
Augmented-Reality-Brille,Augmented Reality Brille
Probeproduktion,Probeproduktion
Diagonale,Diagonale
Panel-Expertise,Panel Expertise
URLs,URLs
Brillengläser,Brillengläser
diversen Patenten Apple,Patenten Apple
weitere Elemente,Element
Nutzern,Nutzern
sehr kompakte Displaytechnik,Displaytechnik
Microsofts Hololens-Headset,Microsofts Hololens Headset
Nikkei,Nikkei
japanischen Finanznachrichtenagentur Nikkei,Finanznachrichtenagentur Nikkei
Mixed-Reality-Technik,Mixed Reality Technik
regulärer OLED-,OLED
bestehende Fertigungstechnik,Fertigungstechnik
neuer Patentanträge,Patentanträge
