AR capabilities,capability
user's point,user point
cameras,camera
field of view,field view
these hurdles,hurdle
Snap's AR,Snap
exact same limitations,exact limitation
play,play
fourth generation,fourth generation
3D space,space
publicity,publicity
Google,Google
AR applications,application
sunlight,sunlight
watershed moment,watershed moment
most people,people
cornerstone of Snap,cornerstone snap
photon,photon
huge focus,huge focus
that approach,approach
big players,big player
video capture,video capture
creation,creation
initial wave,initial wave
Snap,snap
cost,cost
phones,phone
optics,optic
previous generations,previous generation
Basic principles,Basic principle
case,case
Dan Riccio,Dan Riccio
marketing strategy,marketing strategy
viewer's eye,viewer eye
Another challenge companies,challenge company
poem,poem
problem,problem
type,type
early trial,early trial
tools,tool
experiences and filters,experiences filter
filters,filter
tools and experiences,tools experience
Apple,apple
battery,battery
other limitations,limitation
Apple's recent focus,Apple focus
first effort,effort
previous glasses,previous glass
leaks,leak
Significant improvements,improvement
first mixed-reality product,mixed reality product
Snap's AR ecosystem,Snap ecosystem
video-capture devices,video capture device
developers,developer
footage,footage
AR experience,experience
juice,juice
field,field
Lens Studio,Lens studio
future apps,future app
"2,000 nits",2 000 nit
Snap Snap Inc.,Snap Snap
virtual effects,virtual
hardware engineering,hardware engineer
immediately foreseeable future,foreseeable future
certitude,certitude
battery life,battery life
Apple's future,Apple future
company,company
small field,small field
mass consumption,mass consumption
history,history
some AR devices,device
effects and filters,effects filter
AR glasses,glass
brightness,brightness
social media influencers,social media influencer
practically sized lenses,practically sized lense
smart glasses,smart glass
aforementioned technical challenges,aforementioned technical challenge
fully immersive field,fully immersive field
concepts,concept
voice commands,voice command
technology,technology
wristband,wristband
mass-market consumer product,mass market consumer product
potential of AR,potential
big tech companies,big tech company
smartphone,smartphone
Snap's products,Snap product
major challenges,major challenge
another decade,decade
R&D teams,team
side view,view
iteration,iteration
mass market,mass market
Leighton McDonald,Leighton mcdonald
Facebook and Apple,Facebook apple
Lenses,lense
single camera,single camera
headset,headset
reality glasses,reality glass
depth information,depth
image,image
company's former head,company head
Rumor,rumor
continuous use,continuous
mixed-reality headset,mixed reality headset
embedded displays,embedded display
iPhone,iPhone
finished video,finished video
mass-market release,mass market release
beach,beach
first two generations,generation
other bright environments,bright environment
conservation,conservation
that role,role
synced device,synced device
New Mexico,Mexico
first pair,pair
landscape,landscape
area,area
some big breakthroughs,big breakthrough
Spectacles,spectacle
promotional video,promotional video
great deal,great deal
touchpad,touchpad
software,software
years,year
frame,frame
videos,video
Lauren Carson,Lauren Carson
content creators,content creator
Zach Leibermann,Zach Leibermann
These creators,creator
augmented reality glasses,augmented reality glass
augmented reality,augmented reality
Snap's new Spectacles,Snap spectacle
real world,real
charging solution,charging solution
software and cost,software cost
Snapchat users,Snapchat user
Apple executives,Apple executive
Clay Weishaar,Clay Weishaar
units,unit
Snapchat-specific tool,Snapchat specific tool
computing platform,computing platform
Verge,verge
Snapchat Lenses,Snapchat lense
input device,input device
newest AR glasses,newest glass
faster mobile chips,faster mobile chip
that process,process
front-angle view,angle view
more immersive field,immersive field
modest progress,modest progress
Microsoft,Microsoft
cornerstone,cornerstone
Facebook,Facebook
current glasses,current glass
own processing,processing
Investment,investment
that not-so-immediate future,future
AR ambitions,ambition
end users,user
demanding processing,demanding processing
