developer talks,developer talk
Cupertino,Cupertino
development,development
cameras,camera
developer API,developer API
lab,lab
SteamVR headsets,SteamVR headset
sensors,sensor
professionals,professional
XR,XR
other suppliers,supplier
knowledge of Apple,knowledge apple
that space,space
technology,technology
design,design
potential,potential
plan,plan
several sources,source
report,report
engineering,engineer
watershed moment,watershed moment
Apple's plan,Apple plan
Rockwell,Rockwell
Riccio,Riccio
iMac Pro,iMac
Samsung,Samsung
launch,launch
headset,headset
creation,creation
charge of day,charge day
Cook,Cook
his energies,energy
iPhones and iPads,iPhones ipad
high-quality recording,high quality record
processors,processor
mixed reality headset,mixed reality headset
iPhone,iPhone
knowledge,knowledge
virtual reality,virtual reality
Johny Srouji,Johny srouji
own high-quality components,high quality component
that first model,model
expected rivalry,expected rivalry
terms,term
any case,case
surrounding world,surrounding
some evolution,evolution
John Ternus,John ternus
cameras and sensors,cameras sensor
his role,role
VR headset,VR headset
tools,tool
iPads,ipad
"""ultimate oversight",ultimate oversight
latest news,latest news
project,project
Apple,apple
developers and professionals,developers professional
VR,VR
Bloomberg,Bloomberg
project Riccio,project Riccio
documents,document
recent feud,feud
undercurrent,undercurrent
weeks,week
support,support
LG,LG
snag,snag
SteamVR support,SteamVR support
Valve,valve
top-level management,level management
developers,developer
executive,executive
users' homes,users
privacy,privacy
Macs,mac
hardware engineering,hardware engineer
day,day
head,head
obstacles,obstacle
more transformative technology,transformative technology
iPhones,iphone
company's AR/VR efforts,company VR effort
ARKit,ARKit
charge,charge
Apple Silicon,Apple silicon
high-priced headset,high priced headset
Facebook,Facebook
future XR projects,future XR project
company's AR,company
top priority,priority
two tech giants,tech giant
new product development,product development
design and engineering,design engineer
displays,display
engineering of Apple,engineering apple
VR experiences,VR experience
