long run,long
other early aircraft,early aircraft
airplane’s wings,airplane wing
Glenn Curtiss,Glenn curtiss
April,April
Wrights’ design,Wrights design
action,action
litigation,litigation
absence,absence
his legal woes,legal woe
our newsletters,newsletter
North America,North America
suit,suit
modern patent trolling,modern patent troll
airplane makers,airplane maker
result,result
wood-and-fabric wings,wood fabric wing
Europe,Europe
subsequent history,subsequent history
talents,talent
today's news,today news
Wrights,wright
forces,force
machine,machine
exhibition fees,exhibition fee
aircraft,aircraft
skies,sky
Wing warping,Wing warp
talents and energies,talents energy
clear ruling,clear rule
open-ended spaghetti box,open ended spaghetti box
study,study
Wrights’ competitors,Wrights competitor
context,context
aeronautical principles,aeronautical principle
long overdue conclusion,long overdue conclusion
that patent,patent
20th century,20th century
Wrights’ patent war,Wrights patent
rear outer tips,rear outer
first flight,flight
other early aviators,early aviator
ever-present threat,threat
military service,military service
“flying machine,flying machine
French court,French court
confirmation email,confirmation email
American aviation,American aviation
connection,connection
case,case
Assistant Secretary,Assistant secretary
brilliance,brilliance
intellectual property protections,intellectual property protection
Penn State University,Penn university
aeronautic control,aeronautic control
address,address
impact,impact
program segments,program segment
frightened competitors,frightened competitor
brothers Orville,brothers Orville
foreign-made craft,foreign craft
practice,practice
legal contest,legal contest
aircraft market,aircraft market
fact,fact
Europe’s war-torn skies,Europe torn sky
principle of control,principle control
insight,insight
humanity,humanity
airplane designer,airplane designer
air,air
Orville and Wilbur,Orville wilbur
halt,halt
controversial modern practice,controversial modern practice
lift,lift
“lateral margins,lateral
leaps,leap
litigiousness and obstruction,litigiousness obstruction
bounds,bound
meaningful reality,meaningful reality
powered flight,powered flight
ailerons,aileron
modest fee,modest fee
host system,host
key innovation,key innovation
Advancing aeronautics,Advancing aeronautics
his brother,brother
highlights,highlight
idea of podcasting,idea podcast
legal wrangling,legal wrangle
period,period
other American designers,American designer
wing-warping mechanism,wing warping mechanism
Wrights’ fiercest competitors,Wrights fiercest competitor
up-and-coming politician,coming politician
American aeronautic industry,American aeronautic industry
Wrights’ earliest competitors,Wrights earliest competitor
state of affairs,affair
France,France
massive fees,massive fee
envy,envy
intense litigation,intense litigation
Flyer,flyer
U.S. government,government
variety of forces,variety force
century,century
Wilbur,wilbur
pride,pride
historical momentum,historical momentum
competitors,competitor
industry,industry
company,company
history of aviation,history aviation
history,history
monopolistic control,monopolistic control
leaps and bounds,leaps bound
sternly worded letter,sternly worded letter
aviation,aviation
American aircraft industry,American aircraft industry
your subscription,subscription
battle,battle
law,law
archives,archive
Franklin Delano Roosevelt,Franklin Delano roosevelt
control,control
your security,security
legacy,legacy
Personal Audio’s lawsuits,Personal Audio lawsuit
study of aeronautics,study aeronautics
dangerous precedents,dangerous precedent
United States,United
more timid competitors,timid competitor
Strong-arming key players,Strong arming key player
technologies,technology
bitter legal conflict,bitter legal conflict
mechanics,mechanic
subsequent generations,subsequent generation
blogs,blog
favor,favor
Wilbur Wright,Wilbur Wright
last decade,decade
podcasters,podcaster
Personal Audio,Personal audio
significant royalties,royalty
termination,termination
Wrights’ lawyers,Wrights lawyer
intellectual property holders,intellectual property holder
wings,wing
Navy,Navy
our History Newsletter,History newsletter
history books,history book
wires,wire
energies,energy
principle,principle
oft-cited example,cited
present Sean Trainor,Sean trainor
Historians,historian
impressive innovations,impressive innovation
these lawsuits,lawsuit
"manned, powered flight",manned powered flight
country,country
embarrassment,embarrassment
Wright aircraft,Wright aircraft
mistake,mistake
variety,variety
link,link
litigiousness,litigiousness
financial results,financial result
Curtiss,curtiss
judges,judge
Roosevelt,roosevelt
motorcycle maker,motorcycle maker
Wright brothers,Wright brother
courtrooms,courtroom
Wright Brothers’ lawsuits,Wright Brothers lawsuit
huge sums,huge sum
Wright Flyer,Wright flyer
Wilbur’s death,Wilbur death
client subscriber locations,client subscriber location
airplane,airplane
aeronautics,aeronautics
infringements,infringement
aircraft’s wings,aircraft wing
years,year
infringement lawsuits,infringement lawsuit
scope,scope
patent pool,patent pool
German judge,German judge
legal claim,legal claim
pioneers of what,pioneers
obstruction,obstruction
innovation,innovation
theory,theory
patent trouble,patent trouble
most gifted rivals,gifted rival
innovative mechanism,innovative mechanism
common property,common property
courts,court
movable flaps,movable flap
history and humanities,history humanity
would-be patent trolls,patent troll
confirmation,confirmation
Santa Fe College,Santa Fe college
your spam folder,spam folder
any future device,future device
time,time
Orville,Orville
opportunity,opportunity
domestic aviation,domestic aviation
contours,contour
idea,idea
opposite directions,direction
brilliance and innovation,brilliance innovation
